Расписание БГПУ им. М. Акмуллы ИПОиИТ ПИП 31-13;;;;;;;;;
День Недели;Пара;Время;Учебные недели;Четность;Подгруппа;Дисциплина;Место проведения;Преподователь;Тип занянития
;;;;;;;;;
Пятница;1;8:30-10:05;20..33;0;0;Менеджмент и маркейтинг;ауд. 306;Имаева Л.М.;л/к
;;;34..35;0;0;Менеджмент и маркейтинг;ауд. 306;Имаева Л.М.;п/з
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;2;10:15-11:50;20..36;0;0;Менеджмент и маркейтинг;ауд. 306;Имаева Л.М.;п/з
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;3;12:20-13:55;27;0;2;Внедрение, адаптация и настройка прикладных информационных систем;ауд. 209;Зиангирова Л.Ф.;л/б
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;4;14:05-15:40;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;5;16:00-17:35;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;6;17:45-19:20;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;7;19:30-21:00;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Суббота;1;8:30-10:05;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;2;10:15-11:50;22..26;0;0;Корпоративные информационные системы;ауд. 208;Горбунов В.М.;л/к
;;;27..34;0;0;Корпоративные информационные системы;ауд. 208;Горбунов В.М.;п/з
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;3;12:20-13:55;22..24;0;0;Технологии Internet (web - мастерство);ауд. 208;Горбунов В.М.;п/з
;;;26..34;2;1;Избранные вопросы программирования;ауд. 208;Горбунов В.М.;л/б
;;;25..33;1;2;Избранные вопросы программирования;ауд. 208;Горбунов В.М.;л/б
;;;;;;;;;
;;;;;;;;;
;4;14:05-15:40;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;5;16:00-17:35;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;6;17:45-19:20;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;7;19:30-21:00;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
"Правила заполнения:
1). Диапазон учебных недель указывается через две точки, например: ""20..35"", дополнительный диапазаон через запятую, например: ""20..35,37..41"", так-же можно указать одну неделю не в диапазоне, например: ""5,10..15"".
2). Четность указывается (""0 ""- все, ""1"" - нечетная, ""2"" - четная).
3). Подгруппа указывается (""0"" - все, ""1"" - первая, ""2"" - вторая).
4). Столбцы: Дисциплина, Место проведения, Преподователь, Тип занятия, заполняются без правил, на ваше усмотрение. Но эти данные должны быть понятными и точными.
5). Расписание заполняется на один семестр.
6). Добавлять/удалять строки/столбцы нельзя!
7). Даже если вы заполнили расписание полностью, а пустые строки остались, их всё равно нельзя удалять!
8). Добавлять листы или изменять имя текущего листа нельзя.
9). При необходимости распечатать расписание без кодовых обазначений и пустых строк воспользуйтесь утилитой.
10). Не забудьте указать название группы и семестр в заголовке.";;;;;;;;;
