Расписание БГПУ им. М. Акмуллы ИПОиИТ ПИМ 112-15;;;;;;;;;
День Недели;Пара;Время;Учебные недели;Четность;Подгруппа;Дисциплина;Место проведения;Преподователь;Тип занянития
;;;;;;;;;
;;;;;;;;;
;4;14:05-15:40;21..27;0;1;Информатика и программирование;ауд. 213;Картам В.М.;л\б
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;5;16:00-17:35;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;6;17:45-19:20;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;7;19:30-21:00;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Суббота;1;8:30-10:05;21..35;0;1;Информационные системы и технологии;ауд. 212;Зиангирова Л.Ф.;л\б
;;; ;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;2;10:15-11:50;20..27;0;0;Информационные системы и технологии;ауд. 212;Зиангирова Л.Ф.;л\к
;;;28..32;0;0;Информационные системы и технологии;ауд. 212;Зиангирова Л.Ф.;п\з
;;;33..35;0;2;Информационные системы и технологии;ауд. 212;Зиангирова Л.Ф.;л\б
;;;;;;;;;
;;;;;;;;;
;3;12:20-13:55;21..32;0;2;Информационные системы и технологии;ауд. 212;Зиангирова Л.Ф.;л\б
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;4;14:05-15:40;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;5;16:00-17:35;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;6;17:45-19:20;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;7;19:30-21:00;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
"Правила заполнения:
1). Диапазон учебных недель указывается через две точки, например: ""20..35"", дополнительный диапазаон через запятую, например: ""20..35,37..41"", так-же можно указать одну неделю не в диапазоне, например: ""5,10..15"".
2). Четность указывается (""0 ""- все, ""1"" - нечетная, ""2"" - четная).
3). Подгруппа указывается (""0"" - все, ""1"" - первая, ""2"" - вторая).
4). Столбцы: Дисциплина, Место проведения, Преподователь, Тип занятия, заполняются без правил, на ваше усмотрение. Но эти данные должны быть понятными и точными.
5). Расписание заполняется на один семестр.
6). Добавлять/удалять строки/столбцы нельзя!
7). Даже если вы заполнили расписание полностью, а пустые строки остались, их всё равно нельзя удалять!
8). Добавлять листы или изменять имя текущего листа нельзя.
9). При необходимости распечатать расписание без кодовых обазначений и пустых строк воспользуйтесь утилитой.
10). Не забудьте указать название группы и семестр в заголовке.";;;;;;;;;
